Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BIGHORN.SLR,PSCOCOMAUNBIGHORN_SOLAR_RA,30.0698,-1.1508,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BRPL.WND,PSCOBRNCPLNSUNBRONCOPLAINS_RA,29.3134,-1.9072,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BRUSH1_3.CC,PSCOPSCOCPP1PLT3,30.4420,-0.7786,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BRUSH4.CC,PSCOPSCOCPP1PLT1,30.4427,-0.7779,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BSNGG1,PSCOBSNGUNBLUE_SPRUCE_1_RA,30.8297,-0.3909,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.BSNGG2,PSCOBSNGUNBLUE_SPRUCE_2_RA,30.8297,-0.3909,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CABI_A,PSCOCABIUNCABIN_CRK_GA_RA,31.5867,0.3661,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CABI_B,PSCOCABIUNCABIN_CRK_GB_RA,31.5867,0.3661,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CED2.WND,PSCOCEDARCK1UNCEDAR_WIND_2_RA,30.3650,-0.8556,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CEDC.WND,PSCOCEDARCK1UNCEDAR_WIND_1_RA,30.3650,-0.8556,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CEPT.WND,PSCOCEPTUNCEDARPT_WIND_RA,29.7112,-1.5095,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CHER567.CC,PSCOPSCOCHEROKEEPLT1,31.0137,-0.2069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CHERG4,PSCOCHEROKEEUNCHEROKEE_G4_RA,31.4292,0.2086,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CHYE.WND,PSCOCHEY_RGEUNCHEY_RDG_E_RA,29.0644,-2.1562,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.CHYW.WND,PSCOCHEY_RGWUNCHEY_RDG_W_RA,29.0836,-2.1370,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.COLG.WND,PSCOCOGRUNCO_GREEN_WND_RA,26.8242,-4.3964,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.COMAG2,PSCOCOMAUNCOMANCHE2_RA,30.1073,-1.1133,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.COMAG3,PSCOCOMAUNCOMANCHE3_RA,30.1332,-1.0874,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.COMANCHE.SLR,PSCOCOMAUNCOMANCHE_SOLAR_RA,30.1073,-1.1133,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FLUPG1,PSCOFLUPUNFT_LUPTON_1_RA,30.9730,-0.2476,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FLUPG2,PSCOFLUPUNFT_LUPTON_2_RA,30.9730,-0.2476,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FRUIG1,PSCOFRUIUNFRUITA_CT_RA,32.5469,1.3262,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FSVR.CC,PSCOPSCOFSVRPLT1,30.5253,-0.6953,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FSVRG5,PSCOFSVRUNFT_STVRAIN_5_RA,30.5780,-0.6426,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FSVRG6,PSCOFSVRUNFT_STVRAIN_6_RA,30.5780,-0.6426,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG1,PSCOFVNGUNFOUNTAIN_VLY1_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG2,PSCOFVNGUNFOUNTAIN_VLY2_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG3,PSCOFVNGUNFOUNTAIN_VLY3_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG4,PSCOFVNGUNFOUNTAIN_VLY4_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG5,PSCOFVNGUNFOUNTAIN_VLY5_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.FVNGG6,PSCOFVNGUNFOUNTAIN_VLY6_RA,30.8371,-0.3835,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.GWEST.WND,PSCOGOLDWESTUNGOLDEN_W_WND_RA,31.0863,-0.1343,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.HAYDG1,PSCOHAYDNUNHAYDEN_1_RA,31.0954,-0.1252,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.HAYDG2,PSCOHAYDNUNHAYDEN_2_RA,31.1042,-0.1164,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.HOOPER.SLR,PSCOSLVAUNHOOPER_SOLAR_RA,32.4690,1.2484,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.LIMO12.WND,PSCOLIMOUNLIMO_G1_G2_RA,29.9928,-1.2279,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.LIMO3.WND,PSCOLIMOUNLIMO_G3_RA,29.9928,-1.2279,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.LOGA.WND,PSCOPTZLOGANUNWIND1_2_3_4_RA,29.9842,-1.2365,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.MANCG11,PSCOMANGUNMANCHIEF_G1_RA,30.2634,-0.9573,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.MANCG12,PSCOMANGUNMANCHIEF_G2_RA,30.2634,-0.9573,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.MBRE.WND,PSCOMTBREEZEUNMTBREEZE_WIND_RA,30.3302,-0.8904,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.NPTG.BAT,PSCOTUNDRAUNNEPTUNE_BAT_RA,30.2845,-0.9362,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.NPTG.SLR,PSCOTUNDRAUNNEPTUNE_SOLAR_RA,30.2845,-0.9362,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.PAWNG1,PSCOPAWN1UNPAWN_1_RA,30.2634,-0.9573,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.PCOGG2,PSCOPCOGUNPLAINS_END_2_RA,31.4405,0.2199,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.PEET.WND,PSCO.PSCM.PEET.WND_H,30.3089,-0.9117,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.PENGG1,PSCOPENGUNPLAINS_END_1_RA,31.4395,0.2189,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.RCW1.WND,PSCORCWUNRUSH_CRK_1_RA,29.8515,-1.3691,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.RCW2.WND,PSCORCWUNRUSH_CRK_2_RA,29.4158,-1.8048,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.RMEC.CC,PSCOPSCORMECPLT1,30.5066,-0.7140,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SANDHILL.SLR,PSCOMOSCUNSANDHILL_SOLAR_RA,33.0270,1.8064,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SANLUIS.SLR,PSCOSLVAUNSAN_LUIS_SOLAR_RA,32.4178,1.1972,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SHNGG1,PSCOSPINUNSPINDLE_G1_RA,30.3522,-0.8684,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SHNGG2,PSCOSPINUNSPINDLE_G2_RA,30.3522,-0.8684,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SHOS_A,PSCOSHOSUNGENA_RA,31.9922,0.7716,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SHOS_B,PSCOSHOSUNGENB_RA,31.9922,0.7716,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SPCA.WND,PSCOSPCAUNSPR_CANYN_WIND_RA,30.0748,-1.1459,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.SUNMTN.SLR,PSCOCOMAUNSUN_MT_SOLAR_RA,30.1073,-1.1133,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.TDWG.BAT,PSCOMIRASOLUNTHND_WOLF_BAT_RA,30.7334,-0.4873,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.TDWG.SLR,PSCOMIRASOLUNTH_WOLF_SOLAR_RA,30.7334,-0.4873,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.TITAN.SLR,PSCOMSSTUNTITAN_SOLAR_RA,30.3314,-0.8892,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.TWIB.WND,PSCOCOGRUNPSCM_TWNBUT1_RA,26.7871,-4.4335,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.VALMG6,PSCOVALMUNVALMONT_6_RA,31.7422,0.5216,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.VALMG7,PSCOVALMUNVALMONT_7_RA,31.7415,0.5209,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.VALMG8,PSCOVALMUNVALMONT_8_RA,31.7415,0.5209,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.BOULDERHYDRO,PSCOSUNS1UNSUNSHINE_HYD_RA,31.9795,0.7589,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.JMSHAFER,PSCOTGT2JMSHAFERPLT1,30.7914,-0.4292,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.KNUTSON1,PSCO.TSPM.KNUTSON1_H,30.9137,-0.3069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.KNUTSON2,PSCO.TSPM.KNUTSON2_H,30.9137,-0.3069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.SANISABEL,PSCOTYRSUNSAN_ISABEL_RA,31.5448,0.3241,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.SPANISHPEAKS1,PSCOVALNTUNSPANISH_PEAKS_RA,31.3349,0.1143,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.TSPM.TWINBUTTESII,PSCOCOGRUNTSGT_TWNBUT2_RA,26.7703,-4.4503,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.ALAMOSA,PSCOBLNCUNBLANCAPK_SLR_RA,32.6807,1.4601,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.KNUTSON1,PSCOBRSWUNKNUTSON1_RA,30.9137,-0.3069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.KNUTSON2,PSCOBRSWUNKNUTSON2_RA,30.9137,-0.3069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.PARKWAY,PSCOFLUPUNPARKWY_MSR_GEN_RA,30.9730,-0.2476,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.PLATTEVALLEY,PSCOPVALUNPVAL_MSR_GEN_RA,31.1896,-0.0310,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.RATTLESNAKE,PSCODAV_MSRUNRATTL_MSR_GEN_RA,31.1186,-0.1021,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.UPIP.TESLA,PSCOBARRUNTESLA_MSR_GEN_H,30.9137,-0.3069,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_BHCE,PSCO_BHCE_LA,30.7042,-0.5165,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_CRSP,PSCO_CRSP_LA,32.1470,0.9264,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_MEAN_W,PSCO_MEAN_W_LA,32.5593,1.3387,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_PRPM_PR,PSCO_PRPM_PR_LA,30.7489,-0.4717,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_PSCM_PSCO_PSCM,PSCO_PSCM_PSCO_PSCM_LA,31.4438,0.2232,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_PSCM_PSCP_ARPA,PSCO_PSCM_PSCP_ARPA_LA,29.0161,-2.2045,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_PSCO_PSCO_RPSP,PSCO_PSCO_PSCO_RPSP_LA,31.9043,0.6836,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_TSPM_TS,PSCO_TSPM_TS_LA,31.2986,0.0780,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO_UPIP_UPI,PSCO_UPIP_UPI_LA,31.2671,0.0464,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSEI,PSEI,31.6936,0.4730,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,RCDC,RCDC,30.2900,-0.9306,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SCE,CISO,31.9462,0.7256,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SCL,SCL,31.6926,0.4720,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SCSW,SCSW,30.1401,-1.0805,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SDGE,CISO,31.9462,0.7256,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SGDC,SGDC,30.0164,-1.2042,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,SRP,SRP,32.1591,0.9385,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,TEPC,TEPC,32.1969,0.9762,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,TID,TID,31.8916,0.6710,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,TPWR,TPWR,31.6951,0.4745,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,VEA,NVE,32.0327,0.8120,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,WACM.BEPM.ARVADA,WACMARV_WACMUNBEPM_ARVA_RA,29.8002,-1.4204,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,WACM.BEPM.BARBERCK,WACMBARBERCKUNBARBER_CREEK_RA,30.0936,-1.1270,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,WACM.BEPM.DRYFORK,WACMDRY_FORKUNG1_RA,29.7841,-1.4365,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,WACM.BEPM.HARTZOG,WACMPUMPKINUNHARTZOG_RA,30.2128,-1.0078,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,WACM.BEPM.LRS2,WACMLAR_RIVRUNG2_RA,29.5633,-1.6573,0.0000,31.2206
